City Name,Longitude,Latitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,City Country,Date Time
Makakilo City,-158.09,21.35,78.8,88,1,3.36,US,1597504526
Egvekinot,-179.17,66.32,49.08,78,100,2.59,RU,1597504543
Kamwenge,30.45,0.19,80.02,51,100,2.24,UG,1597504758
Mananjary,48.33,-21.22,68.43,73,27,8.68,MG,1597504758
Ocós,-92.19,14.51,86.0,74,75,3.36,GT,1597504759
Bolshoye Nagatkino,47.97,54.52,57.2,93,90,20.13,RU,1597504759
Klaksvík,-6.59,62.23,53.6,100,77,6.93,FO,1597504547
Baley,116.63,51.6,53.78,95,12,2.71,RU,1597504759
São Filipe,-24.5,14.9,79.7,83,26,6.31,CV,1597504502
Lexington,-84.48,37.99,75.0,94,90,10.29,US,1597504760
Mbandaka,18.26,0.05,83.64,60,72,2.19,CD,1597504760
Kalino,57.61,58.25,51.62,87,98,5.79,RU,1597504761
Codrington,141.97,-38.27,46.89,92,5,7.11,AU,1597504491
Ekhabi,142.97,53.51,53.38,90,100,17.58,RU,1597504761
Verkhoyansk,133.38,67.54,38.21,76,99,4.36,RU,1597504761
Saint George,-113.58,37.1,86.0,20,1,4.7,US,1597504566
Batagay-Alyta,130.41,67.8,35.8,93,100,1.97,RU,1597504762
Avarua,-159.78,-21.21,73.4,94,3,6.93,CK,1597504327
Siniscola,9.69,40.57,89.6,52,0,9.17,IT,1597504762
Shimoda,138.95,34.67,75.99,86,0,4.14,JP,1597504762
Pokrovskoye,38.9,47.42,73.99,28,1,11.01,RU,1597504763
Natal,-35.21,-5.79,84.2,62,40,20.8,BR,1597504508
Itarema,-39.92,-2.92,86.99,54,89,20.8,BR,1597504522
Upernavik,-56.15,72.79,40.96,65,39,6.78,GL,1597504536
Iqaluit,-68.51,63.75,48.0,93,90,4.7,CA,1597504337
Kupang,123.58,-10.17,73.83,80,2,8.01,ID,1597504764
Shingū,135.98,33.73,81.57,71,0,6.15,JP,1597504764
Dingle,122.67,11.0,77.47,89,100,1.25,PH,1597504764
Udachny,112.4,66.42,50.0,57,77,6.71,RU,1597504764
Paita,-81.11,-5.09,68.0,72,88,21.92,PE,1597504765
Alta Floresta,-56.09,-9.88,99.59,19,0,6.31,BR,1597504765
Korla,86.15,41.76,80.01,74,0,1.99,CN,1597504581
Tchibanga,11.03,-2.85,79.54,65,96,7.31,GA,1597504765
Ilulissat,-51.1,69.22,37.4,47,40,5.82,GL,1597504406
Oparino,48.28,59.85,54.39,83,89,0.69,RU,1597504766
Alugan,125.48,12.22,78.26,87,91,3.96,PH,1597504496
Ruteng,120.47,-8.61,61.86,100,35,2.06,ID,1597504509
Saint-Philippe,55.77,-21.36,69.8,64,4,9.17,RE,1597504525
Muzhi,64.67,65.37,54.54,63,36,5.99,RU,1597504766
Wenling,121.36,28.37,84.0,49,6,9.22,CN,1597504766
Portland,-122.68,45.52,68.0,59,1,3.36,US,1597504088
Auki,160.7,-8.77,77.36,81,50,1.57,SB,1597504564
Santa Cruz de la Sierra,-63.17,-17.8,64.4,100,75,11.41,BO,1597504767
Mayma,85.91,52.02,58.17,85,100,3.18,RU,1597504767
Khatanga,102.5,71.97,55.62,56,0,9.37,RU,1597504545
Luba,8.55,3.46,80.6,88,75,6.93,GQ,1597504684
Mitsamiouli,43.28,-11.38,78.8,74,75,12.75,KM,1597504554
Bambanglipuro,110.28,-7.95,76.06,91,64,5.73,ID,1597504589
Lanquín,-89.97,15.57,76.78,77,99,1.9,GT,1597504768
Mlowo,32.98,-9.0,75.38,34,71,8.81,TZ,1597504768
Constantine,6.61,36.37,100.4,15,40,10.29,DZ,1597504769
Kudahuvadhoo,72.89,2.67,83.89,66,100,4.25,MV,1597504587
Sirte,16.59,31.21,86.58,49,0,10.87,LY,1597504769
Nanchang,115.88,28.68,85.39,68,0,2.44,CN,1597504769
Châteauroux,1.7,46.82,82.4,37,99,8.05,FR,1597504473
Tateyama,139.87,34.98,84.0,89,0,3.0,JP,1597504770
Slave Lake,-114.77,55.28,57.2,71,75,6.93,CA,1597504557
Kahului,-156.47,20.89,75.0,78,1,3.36,US,1597504495
Keti Bandar,67.45,24.14,85.21,80,100,10.63,PK,1597504770
Lagunas,-75.68,-5.23,81.05,74,99,2.46,PE,1597504771
Yerbogachën,108.01,61.28,44.1,72,5,6.15,RU,1597504771
Alofi,-169.92,-19.06,69.8,77,21,6.93,NU,1597504495
Pemangkat,108.97,1.17,80.38,81,73,5.77,ID,1597504771
Praia da Vitória,-27.07,38.73,77.0,69,20,9.95,PT,1597504537
Yanam,82.22,16.73,77.0,94,90,11.41,IN,1597504772
Stilfontein,26.77,-26.84,75.2,18,100,16.64,ZA,1597504772
Great Falls,-111.3,47.5,66.2,29,1,12.75,US,1597504772
Port Augusta,137.77,-32.5,46.99,100,1,5.82,AU,1597504555
Fort Nelson,-122.7,58.81,48.2,100,75,3.36,CA,1597504327
Cabedelo,-34.83,-6.98,82.4,65,75,12.75,BR,1597504570
Gazli,63.45,40.13,91.18,13,11,6.78,UZ,1597504773
Port-Gentil,8.78,-0.72,80.6,74,75,16.93,GA,1597504564
Eureka,-124.16,40.8,66.0,15,0,1.63,US,1597504316
Vanderhoof,-124.02,54.02,59.16,82,100,4.52,CA,1597504774
Çanakkale Province,26.83,40.08,89.6,31,0,13.87,TR,1597504774
Inta,60.17,66.03,56.23,69,98,0.76,RU,1597504551
Casselman,-75.08,45.32,75.0,70,0,4.0,CA,1597504774
Delcevo,22.77,41.97,84.22,40,7,6.71,MK,1597504774
Evensk,159.23,61.95,52.79,78,100,1.23,RU,1597504774
Linjiang,126.91,41.81,67.32,87,100,2.3,CN,1597504775
Mehamn,27.85,71.04,51.8,69,87,11.01,NO,1597504510
Padang,100.35,-0.95,79.88,76,30,3.06,ID,1597504775
Yumen,97.2,40.28,70.95,30,60,9.66,CN,1597504540
Puerto Baquerizo Moreno,-89.6,-0.9,68.0,94,90,9.17,EC,1597504609
Santa Vitória do Palmar,-53.37,-33.52,62.67,70,12,10.31,BR,1597504776
West Wendover,-114.07,40.74,78.8,21,1,2.98,US,1597504776
Fare,-151.02,-16.7,78.69,76,27,14.79,PF,1597504567
Benguela,13.41,-12.58,71.6,83,3,9.17,AO,1597504776
Māler Kotla,75.88,30.52,86.54,65,0,5.19,IN,1597504776
Tawang Town,91.87,27.58,59.99,81,100,2.91,IN,1597504777
Vila,-8.16,42.03,69.01,59,30,8.99,PT,1597504777
Champerico,-91.92,14.3,84.2,74,40,1.43,GT,1597504536
Tual,132.75,-5.67,79.48,83,35,16.24,ID,1597504777
Beringovskiy,179.32,63.05,51.19,85,2,10.65,RU,1597504534
Barra do Corda,-45.25,-5.5,96.67,27,99,8.37,BR,1597504778
Inhambane,35.38,-23.86,75.0,73,0,18.34,MZ,1597504600
Manakara,48.02,-22.13,68.59,77,0,9.78,MG,1597504778
Varkaus,27.87,62.32,72.0,49,100,6.93,FI,1597504778
Nāndgaon,74.65,20.32,75.61,85,100,17.56,IN,1597504779
Lorengau,147.27,-2.02,80.67,79,100,7.05,PG,1597504535
Muroto-misakicho,134.15,33.28,84.51,77,0,5.53,JP,1597504779
Palu,119.87,-0.89,75.7,81,52,2.19,ID,1597504779
Manaquiri,-60.35,-3.32,93.2,46,20,6.93,BR,1597504780
Toora-Khem,96.11,52.47,60.76,62,92,2.62,RU,1597504780
Valdivia,-73.25,-39.81,42.8,93,40,2.24,CL,1597504780
Pamanukan,107.81,-6.28,78.31,83,2,5.26,ID,1597504780
Sinnamary,-52.95,5.38,86.45,60,25,7.49,GF,1597504555
Westport,-73.36,41.14,82.4,45,1,11.41,US,1597504310
Guadalupe y Calvo,-106.97,26.1,65.79,60,0,4.56,MX,1597504781
Morondava,44.28,-20.28,74.62,67,2,9.62,MG,1597504781
Young,-57.63,-32.68,59.0,38,0,8.99,UY,1597504781
Ketchikan,-131.65,55.34,57.2,100,90,23.04,US,1597504781
Pevek,170.31,69.7,38.01,86,51,5.68,RU,1597504512
Hobyo,48.53,5.35,76.35,77,23,26.89,SO,1597504594
Nanortalik,-45.24,60.14,44.1,79,7,8.28,GL,1597504499
Petropavlovsk-Kamchatskiy,158.65,53.05,53.6,100,40,2.24,RU,1597504565
Avera,-82.53,33.19,80.01,61,90,6.93,US,1597504530
Srednekolymsk,153.68,67.45,43.32,68,93,7.16,RU,1597504494
Santiago del Estero,-64.26,-27.8,63.37,29,0,5.32,AR,1597504576
Tharād,71.63,24.4,81.9,88,100,8.79,IN,1597504783
Coyhaique,-72.07,-45.58,37.4,69,75,9.17,CL,1597504538
Faanui,-151.75,-16.48,78.82,73,50,15.05,PF,1597504527
Safi,-9.24,32.3,75.07,64,0,24.18,MA,1597504784
Katsuura,140.3,35.13,84.0,89,0,3.0,JP,1597504493
Moerai,-151.33,-22.43,72.59,83,100,14.58,PF,1597504587
Itaunja,80.92,27.08,84.2,89,75,5.82,IN,1597504785
Sijunjung,100.95,-0.69,74.32,89,51,1.61,ID,1597504785
Homer,-151.55,59.64,53.01,95,0,4.0,US,1597504785
Ayr,-4.63,55.46,73.4,64,20,9.17,GB,1597504786
Vorsma,43.27,55.99,61.0,59,75,6.71,RU,1597504786
Haines Junction,-137.51,60.75,48.78,85,100,1.03,CA,1597504532
Puerto Escondido,-97.07,15.85,82.4,74,5,8.05,MX,1597504786
Oktyabr'skiy,53.47,54.48,61.05,81,97,2.93,RU,1597504787
Airai,125.41,-8.93,58.12,78,1,2.77,TL,1597504530
Wattegama,81.48,6.8,82.4,78,20,6.93,LK,1597504787
Paoua,16.44,7.24,81.16,84,97,4.56,CF,1597504787
Kavieng,150.8,-2.57,82.08,75,99,4.65,PG,1597504508
Veere,3.67,51.55,78.01,83,36,5.82,NL,1597504788
São João da Barra,-41.05,-21.64,84.2,45,0,13.87,BR,1597504526
Half Moon Bay,-122.43,37.46,75.0,72,1,1.23,US,1597504500
Vila Franca do Campo,-25.43,37.72,77.0,78,20,14.99,PT,1597504542
Sabzawār,57.68,36.21,93.6,14,0,18.14,IR,1597504789
Pochutla,-96.47,15.74,87.8,55,5,1.14,MX,1597504789
Dongsheng,109.98,39.82,66.18,63,0,4.59,CN,1597504789
Nagua,-69.85,19.38,80.6,94,40,4.7,DO,1597504777
Longyearbyen,15.64,78.22,42.8,81,75,3.36,SJ,1597504509
Whitehorse,-135.05,60.72,48.2,87,90,3.36,CA,1597504790
Astoria,-123.83,46.19,64.0,93,1,4.79,US,1597504790
Baykit,96.37,61.67,53.76,60,0,6.4,RU,1597504555
Jinchang,102.17,38.5,68.76,55,100,10.51,CN,1597504790
Kenai,-151.26,60.55,63.0,54,1,8.05,US,1597504733
Lahat,103.53,-3.8,73.78,92,57,2.37,ID,1597504791
Brighton,-0.14,50.83,73.0,81,59,1.99,GB,1597504791
Nome,-165.41,64.5,39.2,93,1,4.23,US,1597504340
Kurovskoye,38.91,55.58,66.2,52,40,6.71,RU,1597504792
Hillsborough,-122.38,37.57,73.4,56,20,4.7,US,1597504792
Palmer,-72.33,42.16,73.99,68,75,10.29,US,1597504606
Pinega,43.39,64.7,59.52,73,100,3.91,RU,1597504793
Zyryanka,150.85,65.75,46.15,72,100,20.31,RU,1597504793
Pervomayskoye,46.71,43.92,79.27,29,28,4.21,RU,1597504599
Hyderabad,78.47,17.38,72.0,100,90,5.82,IN,1597504754
Ambilobe,49.05,-13.2,76.39,68,91,1.99,MG,1597504611
Ninotsminda,43.59,41.26,69.8,35,11,11.41,GE,1597504794
Miragoâne,-73.09,18.44,84.16,69,97,1.86,HT,1597504794
Bayan,127.4,46.08,63.91,91,0,3.58,CN,1597504794
Emerald,148.17,-23.53,59.0,51,0,6.93,AU,1597504794
Sur,59.53,22.57,89.33,56,25,14.63,OM,1597504795
Bandar,99.75,2.05,75.52,89,82,2.62,ID,1597504795
Hamilton,-84.53,39.18,79.0,65,75,3.36,US,1597504420
Alytus,24.05,54.4,80.6,36,52,6.93,LT,1597504795
Māngrol,70.12,21.12,81.97,83,90,19.77,IN,1597504561
Broken Hill,141.43,-31.95,48.2,81,6,8.05,AU,1597504565
Mount Isa,139.5,-20.73,60.8,35,15,1.12,AU,1597504514
Port Moresby,147.18,-9.44,75.2,83,40,17.22,PG,1597504510
Viedma,-63.0,-40.81,46.99,48,73,11.01,AR,1597504796
Bariloche,-71.31,-41.15,35.6,69,75,21.92,AR,1597504595
Leningradskiy,178.42,69.38,41.54,86,94,0.87,RU,1597504498
Polis,32.43,35.04,91.0,66,0,13.87,CY,1597504797
Malindi,40.12,-3.22,78.8,74,20,17.22,KE,1597504797
Mareeba,145.43,-17.0,69.8,83,64,6.93,AU,1597504797
Dryden,-92.75,49.78,62.6,77,40,17.22,CA,1597504797
Chapais,-74.85,49.78,71.6,60,1,9.17,CA,1597504798
Samarinda,117.15,-0.5,74.59,95,10,1.01,ID,1597504318
Ben Gardane,11.22,33.14,99.66,21,0,14.32,TN,1597504798
Cachoeira do Sul,-52.89,-30.04,63.63,82,88,7.11,BR,1597504798
Znamenskoye,73.83,57.13,52.45,89,57,3.31,RU,1597504798
Ngunguru,174.5,-35.62,45.0,3,10,4.0,NZ,1597504799
Prainha,-53.48,-1.8,88.57,58,90,4.32,BR,1597504586
College Place,-118.39,46.05,70.0,31,1,8.05,US,1597504562
Guarapari,-40.5,-20.67,82.0,63,0,5.01,BR,1597504799
Oneida,-75.47,43.2,78.8,54,1,8.05,US,1597504799
Stornoway,-6.39,58.21,62.01,93,0,9.17,GB,1597504591
Luka nad Jihlavou,15.7,49.37,73.99,89,94,4.9,CZ,1597504800
Boma,-2.17,7.08,74.84,90,100,2.8,GH,1597504800
Jvari,42.05,42.72,67.73,75,78,3.58,GE,1597504683
